id	output
{"address":"0xc16e2D46708e82b24c68e2df881c817765A70F6d","chainId":56}	{"name": "NFTCCoin", "symbol": "NFTC", "decimals": 18}
{"address":"0x8639c37d43b1FDf61F8B56B133c01f563D7F1f8e","chainId":56}	{"name": "DFA token", "symbol": "DFA", "decimals": 18}
{"address":"0x96479D99fb9f2C9585787174B4b1cAB5BD36eBeE","chainId":56}	{"name": "MemaSwap Token", "symbol": "MET", "decimals": 18}
{"address":"0x264474555e16ab17Efb4892B1FAAa2ae006E5Ff9","chainId":56}	{"name": "Dira Token", "symbol": "DIRA", "decimals": 18}
{"address":"0xE0112D236564d5F8e2143EB8421aDbb0C7fe2E0F","chainId":56}	{"name": "bakhti", "symbol": "BAKH", "decimals": 18}
{"address":"0xb58609Ca9C91073d815067BDacD3CB2FC3Beb41F","chainId":56}	{"name": "MEOW", "symbol": "MEOW", "decimals": 18}
{"address":"0x01e68489f59583D30eA9EA843f362E10c222E777","chainId":56}	{"name": "DHB", "symbol": "DHB", "decimals": 18}
{"address":"0xe697E5dE5909242Be53f9607F4457e632D1DB929","chainId":56}	{"name": "ChatGPT", "symbol": "GPT", "decimals": 18}
{"address":"0x9BcE93724138A66Ad6730b679Da4ec715CFF2a30","chainId":56}	{"name": "BestToken", "symbol": "BTKN", "decimals": 2}
{"address":"0x6fd7c98458a943f469E1Cf4eA85B173f5Cd342F4","chainId":56}	{"name": "Billion Happiness", "symbol": "BHC", "decimals": 18}
{"address":"0x4aB29Cf6bEeA2fffc94074AC805dB0623b4eCA1b","chainId":56}	{"name": "Wojak DAO", "symbol": "WojakDAO", "decimals": 18}
{"address":"0x5ea8d6d99C2DFa4EA3BBf2d082047703072C568E","chainId":56}	{"name": "Schnauzer", "symbol": "SHNZR", "decimals": 18}
{"address":"0x26A251d0cCb27207E6E8c2E437230F66Db99b61A","chainId":56}	{"name": "Suncoast", "symbol": "SNC", "decimals": 18}
{"address":"0x3fB897494085B8D4a8AA44D69c96B962Bae5Cb4b","chainId":56}	{"name": "DopeToke", "symbol": "DOPE", "decimals": 18}
{"address":"0x535043f9B62Febb2EB45cCE2ad2821F20128E212","chainId":1}	{"name": "Rubtor", "symbol": "RUBT", "decimals": 2}
{"address":"0x6768aCD41a8E8F2d342970E6d2C187c7b1B572d0","chainId":56}	{"name": "winacoin", "symbol": "WINA", "decimals": 18}
{"address":"0x1B0791833a3e5138f8412f40aA5C679a8463ef69","chainId":56}	{"name": "Pepe", "symbol": "PEPE", "decimals": 18}
{"address":"0xe62030f94d8b2F520be3525dC788a00A6B13cA7e","chainId":56}	{"name": "XIMBIA", "symbol": "XMB", "decimals": 18}
{"address":"0xCFf5Bc02DE4B2816246cCEBF5d75d6DDbfEcd9Fa","chainId":56}	{"name": "PEPEMEMETOKEN", "symbol": "PEPEMEME", "decimals": 18}
{"address":"0x44E822cfdbdF67C3D6Ba85F54e73d89D857FF25f","chainId":56}	{"name": "Zombie World Z", "symbol": "ZwZ", "decimals": 18}
{"address":"0x8DfE0d4c5C124173e775145a82A13185a2DB35bE","chainId":56}	{"name": "PEPE", "symbol": "PEPE", "decimals": 18}
